nickname,add1,add2,add3,city,tel,area,tinno,mobile
JAY DISTRIBUTORS - VADAGAM,"NEAR PETROL PUMP,","VADAGAM DHANRUSA ROAD,",,Vadagam 383 301,9825513928   ,VADAGAM,24051100744,9825513928
JAY DURGA AUTO PARTS -  UNJHA,"NEAR BUS STAND,","HIGHWAY CHAR RASTA,", ,Unjha   384 170 ,"027672-54980, R-258890    ",UNJHA, , 9898616621
JAY GOPAL AUTO PARTS - BOTAD,"Nadi Kinara,","Paliyad Bus Stop,", ,BOTAD  364 710 ,02849-255456     ,BOTAD, ,
JAY GOPAL AUTOMOBILES - MORBI," SHOP NO - 3, BHAKTI CHAMBERS,","8 - A, NATIONAL HIGHWAY,","OPP, DECO CERAMIC, MAHENDRANAGAR, MORBI",Morbi ,9825672005   ,MORBI,24092002848,9825672005
JAY HINGLAJ AUTO CENTRE - MEHSANA,"8, SHETH PUNJIRAM CHAMBERS,","OPP. SHUBHLAXMI COMPLEX,","RADHANPUR HIGHWAY,",Mehsana   ,   ,Mehsana,,9327679242
JAY HINGLAJ ENTERPRISE - MEHSANA,"3, ROYAL COMPLEX,",RADHANPUR ROAD,,Mehsana   ,9712936791   ,Mehsana, 24040706513,9712936791
JAY HINGLAJ MOTOR REPOWERING - VISNAGAR,"260/261, SONA COMPLEX,",KASA CHOKDI,,Visnagar 384 315,9426877501 9925166915  ,VISNAGAR,NO TIN,9426877501/9925166915
JAY JALARAM AUTO CENTRE - KADI,"13, SHIVALAY SHOPPING CENTRE,",NEAR ESSAR PETRO PUMP,"CHHATRAL ROAD,",KADI   ,9825471323 9898773081  ,KADI,NO TIN,9825471323/9898773081
JAY JALARAM AUTOMOBILES - NAVSARI,"OPP, BHARA PETROL PUMP,","NEAR JANAKPURI SOCIETY,","GRID KABILPUR, NAVSARI",Navsari ,9898599589   ,NAVSARI,24240202331,"9898599589, "
JAY JALARAM QUARY WORKS PVT.LTD,"A/2, SHANTIVAN, ANAND NAGAR SOCIETY,","BEHIND SICENCE COLLEGE,","JAFRABAD,",Godhra   389 001,   ,GODHRA, ,9925640404
Jay Jiravala Motors - Sarkhej,"B-13, Milan Complex,","Nr. Sukhsagar Hotel, ",Sarkhej,Ahmedabad  ,9825991078 9426487008  ,SARKHEJ,,"9825991078,9426487008"
JAY KHODIAR AUTO CENTRE - BAGASRA,"AMAR PARA,","LATI BAZAR,",,Bagasara 365 440,02796-222466   ,BAGASARA,24130700099,
JAY KHODIAR AUTO PARTS - JAM KHAMBHALIA,JAMNAGAR - DWARKA HIGHWAY,"OPP, ASAPURA MINES",JAM KHAMBHALIA,Jam Khambhalia ,90675 41932 90161 52665  ,JAMKHAMBHALIA,NO TIN,"90675 41932, 90161 52665"
JAY KHODIAR ENGINEERING WORKS - BAGASARA,AMAR PARA,LATI BAZAR,,Bagasara 364 440,02796-222191   ,BAGASARA,,
JAY KHODIYAR AUTO SERVICE - UPLETA,"PORBANDAN ROAD,","BHOLE COMPLEX,",UPLETA,Upleta ,9825695860   ,UPLETA,24092901223,9825695860
JAY KISAN TRACTORS - SARKHEJ,"8, BEE EF ESTATE,  ","NEAR PRABHU ESTATE,","SANAND HIGHWAY, SARKHEJ",Ahmedabad 382 210 ,26890681 27531975    ,SARKHEJ, ,98790 25991 
JAY MAHAKALI MOTORS - MANSA,"OPP, G.E.B.","VIJAPURA HIGHWAY,","DIST - G`NAGAR, MANSA",Mansa 362845,98798 15081   ,MANSA,NO TIN,98798 15081
JAY MAHAKALI TRACTOR PARTS - KODINAR,"OPP. GAYATRI TEMPLE,","SUGAR FACTORY ROAD,",,Kodinar 362 720,02795-221702   ,KODINAR,,9824526771
JAY MATAJI AUTOMOBILES - BOKHIRA,"PORBANDAR DWARKA HIGHWAY,","NEAR RELIANCE PETROL PUMP,","PORBANDAR, BOKHIRA",Porbandar ,9904199454   ,PORBANDER,NO TIN,9904199454
Jay Mataji Petroleum - Jashodanagar," S. No 50/5,"," Jasodanagar Char Rasta,",Maninagar (East),Ahmedabad  382 445,      ,NAROL,24071900165,9924852402
JAY MOTORS  MORBI,"STAR PLAZA COMPLEX,","NEAR KALRAV HOSPITAL,","SANADA ROAD,",MORBI  363 641,(02822) -225029   ,MORBI,24092004116,97270 77555
JAY MOTORS & SERVICE STATION - BAPUNAGAR,"17, KAVYA RESIDENCY,","NEAR SHYAMJIBAPU TEMPLE,","KENAL ROAD, THAKKARNAGAR, BAPUNAGAR",Ahmedabad  ,9662432252 9909381579 9974601861 ,NARODA,NO TIN,"9662432252,9909381579"
Jay Motors - Aslali,"Near Saobhagya Hotel,","Aslali Circle,","Aslali -Rajkot Ring Road, Aslali, Ahmedabad",Ahmedabad  , 9662055910    ,NAROL,NO TIN, 9662055910
JAY MOTORS - CHIKHLI,"VANSDA ROAD, ",B/H JAY AUTOMOBILES ,CHIKHLI,CHIKLI  396521,9924797405    ,CHIKHALI,24240702565,9924797405 
Jay Motors - Gandhidham ,"SHOP NO.12, PLOT NO.89,","SECTOR  9/C, NATIONAL HIGHWAY,",,Gandhidham   370 201,"02836-233278,(R )245559  ",GANDHIDHAM, ,
JAY MOTORS - GONDAL,"GUNDALA CHOKDI,",NATIONAL HIGHWAY,,Gondal   360 311,   ,GONDAL,,9825731958
JAY MOTORS - VALSAD,"NEAR GUNDLAV CHAR RASTA,","VALSAD,",,Valsad ,9879568909   ,VALSAD,24250200339,9879568909
JAY RAJAVIR AUTO CENTRE - RAJKOT,"OPP. SANTOSH TRADERS,","NR. BALAJI PAN,","KOTHARIA RING ROAD, NR. OVER BRIDGE,",Rajkot ,   ,rajkot,,9824440473
JAY SHREE AUTOMOBILES - NAVSARI,"KABILPOR, GREAD,",N.H. NO-8,"NEAR SHALIMAR HOTEL,",Navsari ,9824881244 9427155343  ,NAVSARI,24240200959 DT:1/7/02,"9824881244,9427155343"
JAY SHREE CHAMUNDA AUTO PARTS - SARKHEJ,"OPP. UJALA HOTEL,","NR. KATHIAWADI HOTEL,",SARKHEJ,Ahmedabad ,9825699198 9727261321 8734033783 ,SARKHEJ,24074503379,9825699198 / 9727261321
JAY SIYARAM TRACTOR PARTS - HALVAD,"RAILWAY STATION ROAD,",,"HALWAD,",Halwad   363 330,02758-260603   ,HALWAD,,98791 47603
JAY TRACTOR & AUTO PARTS - DAHEJ,"RUSHIROOP COMPLEX,","SHOP NO.58,","IPCL MAIN ROAD, DAHEJ",Bharuch 392 130,02641-257495 9909247035  ,bharuch,24210700214,9909247035
JAY TRACTORS - VARTEJ,BHAVNAGAR RAJKOT HIGHWAY,"NEAR VARTEJ BUS STATION,","VERTEJ,",BHAVNAGAR   364 060,   ,BHAVNAGAR,,9825999196/9377192930
JAYANTIBHAI THAKARSHIBHAI - DHANDHUKA,NEAR STATE BANK OF INDIA,"STATION ROAD,",,Dhandhuka ,02713-222776 R-222439 9825439378 ,DHANDHUKA, ,9825439378/9898702640
JAYBHARAT AUTMOBILES - MORBI,"SAVSAR PLOT,","MAIN ROAD,",MORBI,Morbi ,02822-225978 9427361897  ,MORBI,24092000018,9427361897
JAYCO AUTOMOBILES - BARODA,"7, ARIHANT APARTMENT,","NEAR ARADHANA CINEMA,",SALATWADA,BARODA   390 001,2421411   ,BARODA, ,9898536438
JAYDEEP MARKETING -MIRZAPUR,"K.B. COMMERCIAL CENTRE,","NEAR DINBAI TOWER,MIRZAPUR",AHMEDABAD,Ahmedabad 380 001,25506788 25507806  ,MIRZAPUR,,9898580965
JAYESH AUTO CORPORATION - AHMEDABAD,"7,VISHAL CORPORATION","NAROL CHAR RASTA,",NAROL,Ahmedabad  382 405 ,25394795      ,NAROL, , 
JAYESH AUTO PARTS - DEESA,SUBHASH CHOWK,"OPP, CHAUDHARI PETROL PUMP,",DEESA,Disa 385 535,   ,DEESA,NO TIN,
Jayesh Automobiles - Rajkot,"J K COMPLEX, BALAJI PARK,","OPP, PATEL VIHAR,","NATIONAL HIGHWAY -8-B, RAJKOT",Rajkot 360 002,0281-2362595      ,,24090700177,
JAYSHREE ASHAPURA AUTO -,FABRICATORS & WELDING WORKS,"187/3, ILABEN ESTATE, NR. R.V. DENIM MILL,","NAROL SAKHEJ HIGHWAY, NAROL",Ahmedabad  ,   ,NAROL,,9227766311
JAYSHREE CHAMUNDA AUTO PARTS - DEESA,"19, ARIHANT COMPLEX,","R.T.O. CHECK POST,","BHILDI ROAD, ANKHOL",Deesa   385 535,   ,DEESA, ,9825883765
JAYSHRI CHAMUNDA MOTORS - AMRELI,"3,WHITE HOUSE,","OPP.S.T.BUS STAND,",AMRELI,Amreli ,94264 38374 02792-230327  ,Amreli,24130100871,94264 38374
JAYSWAL AUTOMOBILES - BAGASARA,,"AMARPARA,",BUS STAND ROAD,Bagasara 364 440,02796-220202   ,BAGASARA,NO TIN,9427745702
JEET CORPORATION - AHMEDABAD,"4, VRINDAVAN COMPLEX,","NR. VAIBHAV HALL,","GHODASAR,",Ahmedabad  380 050,25736244 69605678  ,NAROL,,9998364844
JENCY ENTERPRISE - KALOL,"16,SUDARSHAN COMPLEX,","BORISANA CHOKDI, GAYATRI MANDIR ROAD,","KALOL MEHSANA HIGHWAY,",Kalol ,9714120003   ,KALOL,NO TIN,9714120003
JIMMY TRADING CO. - SARKHEJ,"18, SARKHEJ COMPLEX,","OPP, SUN RIDE HOTEL,","NEAR MASJID, UJALA CIRCLE, SARKHEJ",Ahmedabad  382210,079-26890881 26890881  ,SARKHEJ,24073804927,"9825506884,9377773371"
JINAY AUTOMOBILES - CHANDKHEDA,"NR. A.M.T.S. BUS STOP,","HIGHWAY ROAD,",CHANDKHEDA,Ahmedabad 382 424,23291096 65137208 9227200073 ,CHANDKHEDA,,"9227200073,9227230973"
JINENDRA AUTO AGENCY -  AHMEDABAD,"A-2,M.J.ESTATE,","NEAR SILVER POINT,","OPP.SIMLA HOTEL,NAROL SARKHEJ ROAD,",Ahmedabad  382 405 ,65239497 9924670408    ,NAROL, ," 9998043903,9228720508"
JODHPUR TRACTOR SPARES - SIDDHPUR,"KAKOSI CROSSING,","HIGHWAY,", ,Siddhpur   384 151 ,(02767)O:220939 R:222653    ,SIDHPUR, , 
JOGMAYA  AUTOMOBILES - KALOL,"31, SHETH COMPLEX,","NEAR S.T.WORKSHOP,",KALOL,Kalol ,9428849002   ,KALOL,24060105055 ,9428849002
JOGMAYA AUTO ENGINEERING - CTM,"13, SHAH CHAMBERS,","BESIDE NIDHI BANK,","NR. C.T.M. CHAR RASTA, AMRAIWADI",Ahmedabad ,   ,NAROL,NO TIN,
JOHNSON AUTO CENTRE - CHHANI,"2, GURUDWARA SHOPPING CENTRE,","N.H. NO.8,",,Chhani   ,0265-2773459   ,CHHANI,24090302608,
JOHNSON AUTO SALES - RANOLI,"VAIKUNTH COMPLEX,","B/H MINAL PETROL PUMP,","G.I.D.C. , RANOLI",Ranoli 391 350,0265-2308593   ,RANOLI,24191900313 ,
JYOTI AUTOMOBILES  - JAMNAGAR,"B-3,S.P.MEHTA MARKET,",JAMNAGAR,,Jamanagar   361 001,(0288)-2556780 2678420 2675592 ,JAMNAGAR,NO TIN,98795 15592
JYOTI MOTORS - JUNAGADH,"OPP. AAHIR BOARDING,","DATAR ROAD,",JUNAGADH,Junagadh 362 001,0285-2624766   ,JUNAGADH, 24120103543,9825661662
JYOTI MOTORS - KESHOD,"OPP, PANDAV SAMAJ,","JUNAGADH HIGHWAY,",KESHOD,KESHOD  ,9913955466 9913463922  ,KESHOD,,"9913955466,9913463922"
K P MOTORS - BARWALA,"AHMEDABAD BHAVNAGAR HIGHWAY,","OPP, MAMA HOTEL,","NEAR RIVER BANK , BARWALA",BARWALA ,9727605051 8469298402 9712273135 ,BARWALA,NO TIN,"9727605051,8469298402"
K. B. AUTO - AHMEDABAD,"1,LGL RAJUL APPARTMNET,","NEAR DEEP KUJN SOCIETY,","BHAGWANNAGAR TEKRO ,PALDI",Ahmedabad  380 007,26582275 65453553  ,SARKHEJ,24073900913 ,9376112275/9427318981
K. P. MOTORS - AHMEDABAD,MEMNAGAR, , ,Ahmedabad  ,       ,AHMEDABAD, , 
K. R. AUTO SPARES - VALSAD,"16B, MANGO MARKET,","BECHAR ROAD,",,Valsad   ,570058   ,VALSAD, ,
K. S. STAR AIR BRAKE SYSTEM - SANATHAL,"SHOP.NO - G-5, ","A ONE COMPLEX,","SARKHEJ-BAWLA HIGHWAY, SARKHEJ",Ahmedabad  ,9429670843 9898604687  ,SARKHEJ,NO TIN,"9429670843,9898604687"
K.B. AUTOMOBILES -  HALOL,"OPP. VERAI MATA'S TEMPLE,","BARODA ROAD,", ,Halol   389 350 ,(02676)O-20595 R-20975    ,HALOL, , 
KADIWALA MOTOR STORES - AHMEDABAD,"663/24, KAPASIA BAZAR,","STATION ROAD,", ,Ahmedabad  380 002 ,2388730      ,AHMEDABAD, , 
KAILASH AUTOMOBILES -  BHILODA,"SHOP NO.3,","SAHAKARI JIN MARKET,","S.T. ROAD,",BHILODA   383 245 ,(02771)O-232610  P.P.234062    ,BHILODA, , 
KAILASH AUTOMOBILES - DHORAJI,"19, NEW ASSOCIATION BUILDING,","STATION ROAD,",,DHORAJI  ,02824-221729   ,DHORAJI,,
KAILASH AUTOMOBILES - IDAR,"C/o Kailash Spares & Service,","Barela Talav, Nr. Sagar Redium,",Ambaji Highway Road,Idar   383 430,   ,IDAR,,
KAILASH MOTORS - KADI,"SHOP.NO - 4, ",SIVALAYA SHOPPING CENTRE,"NEAR ESSAR PETROL PUMP, KADI",KADI ,9924081287   ,KADI,NO TIN,9924081287
KAILASH TRACTOR SPARES - RAJKOT,"27, AMAR ARKED","1, MANAHAL PLOT,","LODHAWAD CHOW,",Rajkot   360 01,0281-3016373   ,rajkot,24090400379,9825479197
KAILASH TRACTORS - KESHOD,"DEVANI NAGAR,",VERAVAL HIGHWAY ROAD,,KESHOD  362 220,0281-233024   ,KESHOD,,93746   84724
KAKA AUTO PARTS -  HALOL,"NR. ARCHI CINEMA,","BARODA ROAD,", ,Halol   389 350 ,02676-222654 R:221205    ,HALOL, ,9898255335/9925698566
KAKA AUTOMOBILES - HALOL,"NEAR ARCHI CINEMA,","BARODA ROAD,",,Halol   389 350,   ,HALOL,,
KALA MOTORS -  MEHSANA,"OPP. PUNITNAGAR SOCIETY,","HIGHWAY ROAD,","NAGALPUR,",Mehsana   384 002 ,(02762)O-243257 R-250385    ,Mehsana, , 
KALIKA AUTO CENTRE - CHHOTAUDEPUAR,"27/28, KHETIWADI BAJAR SAMITI -",SHOPPING CENTRE,HIGHWAY ROAD,Chhota Udepur   ,   ,CHHOTA UDEPUR,,942659904 / 9427843840
KALIKA MOTORS - CHANDKHEDA,"OPP. GULAB SOAP FACTORY,","KALOL HIGHWAY ROAD,",CHANDKHEDA,Ahmedabad 382 424,07923298742 R-27572982  ,CHANDKHEDA, ,9898160060/9824087555
KALPESH AUTOMOBILES - RAJKOT,"GONDAL ROAD,", , ,Rajkot  ,86496      ,rajkot, , 
KAMAL MOTORS - GANDHINAGAR,"868, Vishwakarma Shopping Centre,","Sahajanand Complex, ",Sector - 21,Gandhinagar  382021,23228228   ,GANDHINAGR,24060301006,9824014444
KAMDAR BROTHERS - RAJKOT,"GONDAL ROAD,", , ,Rajkot  ,       ,rajkot, , 
KAMDHENU AGENCY - BARODA,"60, HARIBHAKTI COMPLEX,","OPP. M.C. HIGH SCHOOL,",SALATWAD,Baroda 390 001,0265-242375   ,BARODA,24190602215,9426021531
KAMESHWAR TRACTORS - RAJKOT,"BLOCK NO - 9/102, ANANDNAGAR PARK,","OPP, NILKANTH CINEMA,OPP HARSHAD PROVISSION STORES","ANANDNAGAR ROAD, RAJKOT",Rajkot ,9426524614   ,rajkot,24090900576,9426524614
KAMLESH AUTO PARTS - PALANPUR,"NEAR NUTAN HIGH SCHOOL,","OPP. UCO BANK, ","HANUMAN TEKRI, ABU HIGHWAY",Palanpur 385 001,02742-295999 9426631622  ,PALANPUR,24020804053,9426631622
KAMNATH AUTO PARTS - KADI,"5/B, AKSHAR COMPLEX,","NEAR ESSAR PETROL PUMP,","KADI CHHATRAL ROAD,",KADI   382 715,   ,KADI,NO TIN,9898594266
KANAIYA AUTOMOBILES - MEHSANA,"OPP.SWAMINARAYAN TRANSPORT,","NR.KHODIYAR RESTAURANT,","HIGHWAY,",Mahesana  ,(02762)O-447901 .R-57649    ,Mehsana, , 
Kanaiyya Auto Parts - Vapi,"Western Hotel Compound,","N.H. No. 8,",Balitha,Vapi    ,9879592059      ,VAPI,24250400832,9879592059
KANU MOTORS - NANA CHILODA,"NEAR RANASAN POWER HOUSE,","OPP, C.N.G. PUMP,","NH - 8, NANA CHILODA, A`BAD",Ahmedabad ,9409654040   ,NARODA,NO TIN,9409654040
Kapadia Auto Parts - Odhav,"G-07, GRAND VISALA,BELOW TIRUPATI HOTEL,","NR. ROYAL RESTAURANT, ","S.P.RING ROAD,ODHAV",Ahmedabad  ,  9898753357    ,NARODA, 24075102299, 9898753357
KARAM AUTO PARTS - CHIKHALI,"OPP. ALFA HOTEL,","N.H.NO:8,","THALA,",CHIKLI  396 521, 9824190049  9537094800    ,CHIKHALI,24240701112," 9824190049,9537094800"
KARAM SYNTHETICS PVT.LTD. - NAROL,"110, MAHASHAKTI ESTATE,","B/H - OLD NAROL COURT,","OPP, KARNAVATI CHEMICALS, NAROL",Ahmedabad  382405,9426301605 9374992352 25732610 ,NAROL,24073800388,"9426301605,9374992352"
KARAN MOTORS - AHMEDABAD,"20,TAGORE PARK,","NR. NEHARUNAGAR CHAR RASTA,","AMBAWADI,",Ahmedabad  380 015 ,26743632      ,NARANPURA, , 9825200051
KARAN TRADERS - AHMEDABAD,"B/H J.RASIKLALA PETROL PUMP,","OUTSIDE SHAHPUR GATE,","OPP.KALYAN NAGAR SOCIETY,",Ahmedabad  380 004,   ,AHMEDABAD,,9898083787
KARM AUTO - JASHODANAGAR,"G-33, SARTHI COMPLEX,","JASHODANAGAR CHAR RASTA,","N. H. NO. 8,",Ahmedabad 385 445,   ,NAROL,,9898072588
KARMYASH AUTO & TRACTOR -  SARKHEJ,"M.J.CHAMBERS,SOMNATHNAGAR SOCIETY,","NR.AMBICA PETROL PUMP,","SARKHEJ-BAWLA ROAD, SARKHEJ,",Ahmedabad 382 210 ,26890637      ,SARKHEJ, , 98253 20809
"KARNAVATI CLUB LTD., -  ","GANDHINAGAR-SARKHEJ HIGHWAY,"," S.G. HIGHWAY,",AHMEDABAD ,Ahmedabad  380 058,26926060 26929090    ,SARKHEJ, , 
Karnavati Motors - Memnagar," 132 Feet Ring Road,"," Near Gopal Nagar,"," Memnagar,",Ahmedabad 380 052, 65216333     ,NARANPURA,NO TIN, 9825068744/9925068744
KARTIK MOTORS - RANOLI,"5 & 6, GURUKRUPA COMPLEX,","NEAR BHAGWAN PARK,","IPCL ROAD, RANOLI",Ranoli 391350,9998313452   ,RANOLI,24191900956 DTD - 31.07.13,9998313452
KARUNESH AUTO PARTS - AHMEDABAD,"NEAR ISWAR PETROL PUMP,",SOLA, ,Ahmedabad  ,o-745 6179      ,AHMEDABAD, , 
KATARIA AUTOMOBILES LTD. - AHMEDABAD,"NEAR YMCA CLUB,","SARKHEJ GANDHINAGAR HIGHWAY,",SARKHEJ,Ahmedabad 382 210 ,"6731627,6761975  22139616    ",SABARMATI, , 
KATARIA AUTOMOBILES LTD.- KHOKHARA,OPP. AMBICA MILLS,"NEAR ANUPAM CINEMA BRIDGE,","KHOKHARA,",Ahmedabad 380 008,2217501 22932637  ,NAROL,,9824130400
KATARIA MOTORS PVT LTD - CHANGODAR,"PLOT.NO - 103/B, CHACHARWADI,","OPP, ZYDUS CADILA,","SARKHEJ ROAD, CHANGODAR",Ahmedabad  ,9824499449   ,132 FT ROAD,24072000719,"9824499449,7624099960"
KATHIAWAR MOTOR SALES & SERVICE - BHAVNAGAR,"GOGA GATE,", , ,Bhavnagar  ,       ,BHAVNAGAR, , 
KAUSHAL AUTO TRADERS - MIRZAUR ,"K. B. COMMERCIAL CENTRE,","OPP. DINBAI TOWER,","MIRZAPUR, ",Ahmedabad  380 001 ,       ,MIRZAPUR, , 
KAUSHAL TRADING CO.- MIRZAPUR,"K.B. COMMERCIAL CENTRE,","OPP. DINBAI TOWER,","MIRZAPUR,",Ahmedabad  380 001,   ,MIRZAPUR, ,
Kavita Motors -  AHMEDABAD,"2,Limboj Complex,","Sola Road,","Near AEC, Naranpura,",Ahmedabad  380 013 ,27911852 27436522     ,NARANPURA, , 9427020127
KENNY & SONS - GODHRA,"OP. THE GODHRA CITY CO.OP.BANK,","PRABHA ROAD,",,Godhra   ,02672-249817   ,GODHRA,,
KESHAR CAR CENTER -  HIMATNAGAR," 3, AVISHKAR COMPLEX,"," OPP.MOTIPURA BUS STAND,",MOTIPURA,Himat Nagar 383 001 ,9428185006  9428185006    ,HIMMATNAGAR, ,9428185006
KESHAV AUTO PARTS - MEHSANA,"PRITHVI COMPLEX,","OPP.PASHABHAI PETROL PUMP,","HIGHWAY, NAGALPUR,",Mehsana    ,(02762)O-43234      ,Mehsana, , 
KETAN CONSTRUCTION LTD. - SARKHEJ,"SARKHEJ BAVLA HIGHWAY,","NR. JASBHAI PATEL PETROL PUMP,",SANATHAL,Ahmedabad  ,   ,SARKHEJ,,9825025280
KETAN MOTORS -  RANOLI,"SHOP NO.A-46,G.I.D.C.","RANOLI COMMERCIAL COMPLEX,",RANOLI,Ranoli 391 350 ,0265-2308528     ,RANOLI, , 
KEVAL AUTO PARTS - BHARUCH,"A-4, NUTAN SHOPPING CENTRE,","OPP. PRITAM SOCIETY,","KASAK ROAD,",Bharuch 392 002,02642-245859 9824700997  ,bharuch,NO TIN,9824700997
KEVAL SALES CORPORATION -  MEHSANA,"GL 48, APOLLO ENCLAVE,","OPP.SIMANDHAR TEMPLE,","MODERA CHAR RASTA,",Mehsana   384 002 ,242854      ,Mehsana, , 
KEYUR AUTO CENTRE - JAMNAGAR,"RANJEET ROAD,",OPP. BANK OF INDIA,,Jamanagar   361 001,2556375 R-2552950  ,JAMNAGAR, ,
KEYUR AUTO CENTRE. - RANOLI,"OPP. DHANLAXMI PETROL PUMP,","N. H. NO. 8,", ,Ranoli   391 350 ,(0265)O-2240137 2308 638R-78391    ,RANOLI,,98251 40137 
KEYUR AUTO PARTS - ANKLESHWAR,"OPP. TAPI LODGE,","NEAR NATIONAL PETROL PUMP,",N. H. NO.8,Ankleshwar   393 001,   ,Ankleshwar,,
KEYUR AUTO PARTS - RANOLI,"6/7,  RAJMANDIR LACER CINEMA","I.P.C.L ROAD,","RANOLI,",Ranoli   ,0265-2240117 8866889981  ,RANOLI,24191900804,9825140137
Khajuria Automobiles - Rajkot,"OPP.BALASHRAM,","GONDAL ROAD,", ,Rajkot   360 002, 2466223      ,rajkot, 24090700651 , 
KHALSA AUTOMOBILES - NAROL,"SHOP NO.10-A,KALA ESTATE,","OPP. TRANSPORT NAGAR,","NAROL CHAR RASTA,",Ahmedabad 382 405 ,25342013 25713885     ,NAROL, , 
Khatri Auto Traders - Sola Road," M-85, Panchvati Appartmemnt,"," Opp. Rameshwar Flate,","Nr. Petrol Pump, Sola Road,",Ahmedabad   , 27430549     ,SOLA,24072902610,9898179695/9898765343
KHEDBRAHMA AUTO & TRACTOR CENTRE - KHEDBRAHMA,"HIGHWAY,", , ,Khedbrahma    ,20294      ,HIMMATNAGAR, , 
KHETI VIKAS AGENCY -  UNA,"4, FARANG COMPLEX,","BHAVNAGAR ROAD,","OPP.MARKETING YARD,",Una   362 560 ,(02875)223846       ,UNA, ,99242 91997 
KHODAL AUTO PARTS - NIKOL,"3/4, MUNIVAL COPLEX,","NEAR KHODIAR TEMPLE,","NIKOLGAM ROAD, NIKOL,",Ahmedabad  ,22950234   ,NARODA,,925048605
KHODIAR AUTOMOBILES - MEHSANA,"F-11/12, PANCHRATNA COMPLEX,","FIST FLOOR,","NEAR MODHERA CHAR RASTA,",Mehsana   ,9824971474   ,Mehsana,24040707613,9824971474
KHODIYAR AUTO PARTS - ODHAV," 148, RAMESHWAR PARK,","NEAR R.D.SCHOOL ,","NATIONAL HIGHWAY, ODHAV ",Ahmedabad   ,22875094       ,NARODA, ,9925048605/ 9825869102
KHODIYAR AUTO PARTS - RAJKOT,"NR. JUNA OCTROI NAKA,","KUVADAVA ROAD,",,Rajkot   360 001,   ,rajkot,,9428349266
KHODIYAR AUTOMOBILES PVT. LTD.- SARKHEJ,"MALTI ESTATE,",NEAR JAMNAGAR TRANSPORT CO.,"SARKHEJ BAVLA HIGHWAY, SARKHEJ",Ahmedabad 382 210,29891488   ,SARKHEJ,24074502887,9723451971/9898961177
KHODIYAR MOTORS - NARNPURA,"OPP. KHODIYAR MANDIR,","OPP. SAHAJANAND AVENUE,",NEAR NARANPURA A.E.C. NARNPURA,Ahmedabad 380 013,9824265233   ,NARANPURA,,9824265233
KHUSHI SALES - RANOLI,"PLOT.NO - 11, SHOP.NO - 6,","SEKHON CHEMBER,","NEAR WATER TANK, G.I.D.C. , RANOLI",Baroda ,0265-2308811 9714188377  ,RANOLI,24191900974,9714188377
KHUSHI TRADERS -  SARKHEJ,"3, N.M. PATEL COMPLEX,","1 St FLOOR, NR. HOTEL SAVAN,","SARKHEJ SANAND CROSS ROAD,",Ahmedabad 382 210,26891546  R26860517    ,SARKHEJ, , 94260 16116
KIRAN AUTO AGENCY - KESHOD,"JUGAGADH HIGHWAY,","OPP. SHASHTRI NAGAR, ", KESHOD,KESHOD  362 220 ,:22310 : R-22969    ,KESHOD, , 9427423914
KIRAN AUTO PARTS - BARODA,"G-1, NARAYAN COMPLEX,","NR, PANCHAVATI JAKAT NAKA,","GORWA, BARODA - 390 016.",BARODA ,9824012975   ,BARODA,,9824012975
KIRAN AUTO SPARES - PALANPUR,"19, SAKAR COMPLEX,","OPP. VISHAL PETROL PUMP,","AHMEDABAD HIGHWAY,",Palanpur   385 001,PP-258007   ,PALANPUR, ,9427065147
KIRAN AUTOMOBILES - BHAVNAGAR,"OPP.OLD KHADPITH,","NEAR BHIDBHANJAN MAHADEV,","NAVAPARA,",BHAVNAGAR    364 001,0278-420523  430340    ,BHAVNAGAR, , 
KIRAN TRACTORS & GARAGE - VALBHIPUR,"NEAR AVADMATAJI TEMPLE,","HIGHWAY,","VALBHIPUR,",valbhipur ,02841-210210 9428855423  ,BHAVNAGAR,NO TIN,9428855423
KIRAN TRACTORS - BHAVNAGAR,"PLOT NO:2554/B,","TALAJA ROAD,","OPP. RAM MANTRA MANDIR,", Bhavnagar    ,0278 567434      ,BHAVNAGAR, , 
KIRTI AGENCIES - DEESA,"NEAR R.T.O. POST,","ANKHOL,",,Deesa   385 535,02744-270159   ,DEESA, ,98243 54653
KIRTI AUTOMOBILES - PORBANDER,S.V.P. ROAD,OPP. HARISH CINEMA, ,Porbandar  ,       ,PORBANDER, , 
KIRTI AUTOMOBILES - SARKHEJ,"SUNRISE ESTATE,NR. BAVANI MOTORS","SANAND BAVLA CROSS ROAD,",SARKHEJ,Ahmedabad 382 210,26890222 9427666557 9898616312 ,SARKHEJ, ,"9825166557,9427666557"
KIRTI SALES CORPORATION - SARKHEJ,"SUNRISE ESTATE, ","NEAR BHAVANI MOTORS,",SANAND BAVLA CROSS ROAD,Ahmedabad 382 210,2690729 9428407277 9727087455 ,SARKHEJ,,"9428407277,9727087455"
KIRTI TRACTOR CORPORATION - SARKHEJ,"32,SUNRISE ESTATE, NR. BHAVAN MOTORS","SANAND BAWLA CROSS ROAD,",SARKHEJ,Ahmedabad  382 210, 26890222 R-55418375     ,SARKHEJ, ," 9825166557, 9898616312"
KISAN AUTO & TRACTORS - RAJPIPLA,,"MAHAVIDYALAY ROAD,",DIST. NARMADA,Rajpipla   393 145,222053   ,RAJPIPLA,,
